Occupation Group,Occupation Group Definition,Occupation,Occupation Definition,Rurality,Year,Supply,Fewer Graduates,More Graduates,Retire Early,Retire Late,Demand,Increased Insurance Coverage,Improved Population Health,Racial Equity,Improved Access (combination scenario),Geographic Parity,Percent Adequacy
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Physical Therapists,"Licensed health professionals who help patients with injuries or illnesses restore function, improve mobility, relieve pain, and prevent or limit permanent disability. They conduct patient assessments and plan and implement treatments designed to increase strength, agility, coordination, range of motion, and flexibility.",Total,2018,"247,180",245340,249020,245080,248760,"246,160",,,,,,100%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Physical Therapists,"Licensed health professionals who help patients with injuries or illnesses restore function, improve mobility, relieve pain, and prevent or limit permanent disability. They conduct patient assessments and plan and implement treatments designed to increase strength, agility, coordination, range of motion, and flexibility.",Total,2019,"252,650",249910,255420,249730,255060,"249,920",,,,,,101%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Physical Therapists,"Licensed health professionals who help patients with injuries or illnesses restore function, improve mobility, relieve pain, and prevent or limit permanent disability. They conduct patient assessments and plan and implement treatments designed to increase strength, agility, coordination, range of motion, and flexibility.",Total,2020,"257,940",254260,261530,254100,261070,"253,900",,,,,,102%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Physical Therapists,"Licensed health professionals who help patients with injuries or illnesses restore function, improve mobility, relieve pain, and prevent or limit permanent disability. They conduct patient assessments and plan and implement treatments designed to increase strength, agility, coordination, range of motion, and flexibility.",Total,2021,"263,080",258510,267640,258190,266880,"257,740",,,,,,102%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Physical Therapists,"Licensed health professionals who help patients with injuries or illnesses restore function, improve mobility, relieve pain, and prevent or limit permanent disability. They conduct patient assessments and plan and implement treatments designed to increase strength, agility, coordination, range of motion, and flexibility.",Total,2022,"267,870",262380,273280,262210,272590,"262,400",,,,,,102%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Physical Therapists,"Licensed health professionals who help patients with injuries or illnesses restore function, improve mobility, relieve pain, and prevent or limit permanent disability. They conduct patient assessments and plan and implement treatments designed to increase strength, agility, coordination, range of motion, and flexibility.",Total,2023,"272,680",266370,279070,266410,277960,"266,950",,,,,,102%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Physical Therapists,"Licensed health professionals who help patients with injuries or illnesses restore function, improve mobility, relieve pain, and prevent or limit permanent disability. They conduct patient assessments and plan and implement treatments designed to increase strength, agility, coordination, range of motion, and flexibility.",Total,2024,"277,020",269770,284180,270280,282850,"271,390",,,,,,102%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Physical Therapists,"Licensed health professionals who help patients with injuries or illnesses restore function, improve mobility, relieve pain, and prevent or limit permanent disability. They conduct patient assessments and plan and implement treatments designed to increase strength, agility, coordination, range of motion, and flexibility.",Total,2025,"281,590",273430,289650,274160,288000,"276,010",,,,,,102%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Physical Therapists,"Licensed health professionals who help patients with injuries or illnesses restore function, improve mobility, relieve pain, and prevent or limit permanent disability. They conduct patient assessments and plan and implement treatments designed to increase strength, agility, coordination, range of motion, and flexibility.",Total,2026,"285,860",276860,294760,277770,292490,"280,470",,,,,,102%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Physical Therapists,"Licensed health professionals who help patients with injuries or illnesses restore function, improve mobility, relieve pain, and prevent or limit permanent disability. They conduct patient assessments and plan and implement treatments designed to increase strength, agility, coordination, range of motion, and flexibility.",Total,2027,"290,170",280220,299950,281580,297500,"285,140",,,,,,102%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Physical Therapists,"Licensed health professionals who help patients with injuries or illnesses restore function, improve mobility, relieve pain, and prevent or limit permanent disability. They conduct patient assessments and plan and implement treatments designed to increase strength, agility, coordination, range of motion, and flexibility.",Total,2028,"294,330",283680,305020,285630,302280,"289,800",,,,,,102%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Physical Therapists,"Licensed health professionals who help patients with injuries or illnesses restore function, improve mobility, relieve pain, and prevent or limit permanent disability. They conduct patient assessments and plan and implement treatments designed to increase strength, agility, coordination, range of motion, and flexibility.",Total,2029,"298,310",286840,309800,289060,306720,"294,360",,,,,,101%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Physical Therapists,"Licensed health professionals who help patients with injuries or illnesses restore function, improve mobility, relieve pain, and prevent or limit permanent disability. They conduct patient assessments and plan and implement treatments designed to increase strength, agility, coordination, range of motion, and flexibility.",Total,2030,"302,360",289970,314610,292270,311020,"298,820",,,,,,101%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Podiatrists,"Provide medical and surgical care for the foot, ankle, and lower leg. They also diagnose and treat foot problems associated with chronic diseases such as diabetes, cardiovascular disease, or arthritis. Podiatrists may prescribe medications or physical therapy, or they may perform surgery.",Total,2016,"18,160",18160,18160,18160,18160,"18,160",,,,,,100%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Podiatrists,"Provide medical and surgical care for the foot, ankle, and lower leg. They also diagnose and treat foot problems associated with chronic diseases such as diabetes, cardiovascular disease, or arthritis. Podiatrists may prescribe medications or physical therapy, or they may perform surgery.",Total,2017,"18,170",18110,18230,18010,18300,"18,560",,,,,,98%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Podiatrists,"Provide medical and surgical care for the foot, ankle, and lower leg. They also diagnose and treat foot problems associated with chronic diseases such as diabetes, cardiovascular disease, or arthritis. Podiatrists may prescribe medications or physical therapy, or they may perform surgery.",Total,2018,"18,320",18210,18450,18060,18530,"18,910",,,,,,97%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Podiatrists,"Provide medical and surgical care for the foot, ankle, and lower leg. They also diagnose and treat foot problems associated with chronic diseases such as diabetes, cardiovascular disease, or arthritis. Podiatrists may prescribe medications or physical therapy, or they may perform surgery.",Total,2019,"18,520",18340,18680,18220,18820,"19,240",,,,,,96%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Podiatrists,"Provide medical and surgical care for the foot, ankle, and lower leg. They also diagnose and treat foot problems associated with chronic diseases such as diabetes, cardiovascular disease, or arthritis. Podiatrists may prescribe medications or physical therapy, or they may perform surgery.",Total,2020,"18,620",18390,18850,18130,18990,"19,590",,,,,,95%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Podiatrists,"Provide medical and surgical care for the foot, ankle, and lower leg. They also diagnose and treat foot problems associated with chronic diseases such as diabetes, cardiovascular disease, or arthritis. Podiatrists may prescribe medications or physical therapy, or they may perform surgery.",Total,2021,"18,720",18440,19010,18230,19190,"19,920",,,,,,94%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Podiatrists,"Provide medical and surgical care for the foot, ankle, and lower leg. They also diagnose and treat foot problems associated with chronic diseases such as diabetes, cardiovascular disease, or arthritis. Podiatrists may prescribe medications or physical therapy, or they may perform surgery.",Total,2022,"18,720",18380,19070,18320,19310,"20,350",,,,,,92%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Podiatrists,"Provide medical and surgical care for the foot, ankle, and lower leg. They also diagnose and treat foot problems associated with chronic diseases such as diabetes, cardiovascular disease, or arthritis. Podiatrists may prescribe medications or physical therapy, or they may perform surgery.",Total,2023,"18,910",18510,19310,18390,19580,"20,740",,,,,,91%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Podiatrists,"Provide medical and surgical care for the foot, ankle, and lower leg. They also diagnose and treat foot problems associated with chronic diseases such as diabetes, cardiovascular disease, or arthritis. Podiatrists may prescribe medications or physical therapy, or they may perform surgery.",Total,2024,"19,000",18540,19450,18320,19540,"21,120",,,,,,90%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Podiatrists,"Provide medical and surgical care for the foot, ankle, and lower leg. They also diagnose and treat foot problems associated with chronic diseases such as diabetes, cardiovascular disease, or arthritis. Podiatrists may prescribe medications or physical therapy, or they may perform surgery.",Total,2025,"19,030",18510,19560,18330,19690,"21,510",,,,,,88%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Podiatrists,"Provide medical and surgical care for the foot, ankle, and lower leg. They also diagnose and treat foot problems associated with chronic diseases such as diabetes, cardiovascular disease, or arthritis. Podiatrists may prescribe medications or physical therapy, or they may perform surgery.",Total,2026,"18,980",18410,19560,18360,19760,"21,890",,,,,,87%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Podiatrists,"Provide medical and surgical care for the foot, ankle, and lower leg. They also diagnose and treat foot problems associated with chronic diseases such as diabetes, cardiovascular disease, or arthritis. Podiatrists may prescribe medications or physical therapy, or they may perform surgery.",Total,2027,"19,020",18380,19650,18340,19890,"22,250",,,,,,85%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Podiatrists,"Provide medical and surgical care for the foot, ankle, and lower leg. They also diagnose and treat foot problems associated with chronic diseases such as diabetes, cardiovascular disease, or arthritis. Podiatrists may prescribe medications or physical therapy, or they may perform surgery.",Total,2028,"19,050",18360,19760,18260,19840,"22,600",,,,,,84%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Podiatrists,"Provide medical and surgical care for the foot, ankle, and lower leg. They also diagnose and treat foot problems associated with chronic diseases such as diabetes, cardiovascular disease, or arthritis. Podiatrists may prescribe medications or physical therapy, or they may perform surgery.",Total,2029,"19,080",18310,19810,18300,19880,"22,950",,,,,,83%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Podiatrists,"Provide medical and surgical care for the foot, ankle, and lower leg. They also diagnose and treat foot problems associated with chronic diseases such as diabetes, cardiovascular disease, or arthritis. Podiatrists may prescribe medications or physical therapy, or they may perform surgery.",Total,2030,"19,010",18220,19820,18390,20010,"23,290",,,,,,82%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Registered Dietitians,Advise individuals on proper nutrition necessary to maintain a healthy lifestyle or achieve a health-related goal.,Total,2016,"78,970",78970,78970,78970,78970,"78,970",,,,,,100%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Registered Dietitians,Advise individuals on proper nutrition necessary to maintain a healthy lifestyle or achieve a health-related goal.,Total,2017,"80,090",79750,80430,79740,80230,"80,230",,,,,,100%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Registered Dietitians,Advise individuals on proper nutrition necessary to maintain a healthy lifestyle or achieve a health-related goal.,Total,2018,"81,850",81160,82550,80790,82170,"81,240",,,,,,101%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Registered Dietitians,Advise individuals on proper nutrition necessary to maintain a healthy lifestyle or achieve a health-related goal.,Total,2019,"83,360",82320,84430,81990,84290,"82,210",,,,,,101%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Registered Dietitians,Advise individuals on proper nutrition necessary to maintain a healthy lifestyle or achieve a health-related goal.,Total,2020,"84,600",83240,86020,82950,85960,"83,250",,,,,,102%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Registered Dietitians,Advise individuals on proper nutrition necessary to maintain a healthy lifestyle or achieve a health-related goal.,Total,2021,"85,940",84200,87640,84050,87580,"84,270",,,,,,102%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Registered Dietitians,Advise individuals on proper nutrition necessary to maintain a healthy lifestyle or achieve a health-related goal.,Total,2022,"87,300",85250,89370,85360,89190,"85,480",,,,,,102%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Registered Dietitians,Advise individuals on proper nutrition necessary to maintain a healthy lifestyle or achieve a health-related goal.,Total,2023,"88,740",86280,91080,86420,90740,"86,690",,,,,,102%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Registered Dietitians,Advise individuals on proper nutrition necessary to maintain a healthy lifestyle or achieve a health-related goal.,Total,2024,"89,950",87240,92740,87430,92310,"87,870",,,,,,102%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Registered Dietitians,Advise individuals on proper nutrition necessary to maintain a healthy lifestyle or achieve a health-related goal.,Total,2025,"91,380",88330,94490,88570,93900,"89,070",,,,,,103%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Registered Dietitians,Advise individuals on proper nutrition necessary to maintain a healthy lifestyle or achieve a health-related goal.,Total,2026,"92,650",89230,96000,89650,95280,"90,260",,,,,,103%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Registered Dietitians,Advise individuals on proper nutrition necessary to maintain a healthy lifestyle or achieve a health-related goal.,Total,2027,"93,930",90200,97590,90960,96840,"91,590",,,,,,103%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Registered Dietitians,Advise individuals on proper nutrition necessary to maintain a healthy lifestyle or achieve a health-related goal.,Total,2028,"95,270",91200,99280,92200,98260,"92,950",,,,,,102%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Registered Dietitians,Advise individuals on proper nutrition necessary to maintain a healthy lifestyle or achieve a health-related goal.,Total,2029,"96,640",92230,101010,93640,99760,"94,270",,,,,,103%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Registered Dietitians,Advise individuals on proper nutrition necessary to maintain a healthy lifestyle or achieve a health-related goal.,Total,2030,"97,940",93220,102530,94810,101110,"95,540",,,,,,103%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Respiratory Therapists,"Care for patients with breathing problems, often related to chronic respiratory diseases such as asthma and emphysema, or acute diseases like pneumonia. They also provide emergency care to patients suffering from heart attacks, drowning, or shock.",Total,2016,"111,210",111210,111210,111210,111210,"111,210",,,,,,100%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Respiratory Therapists,"Care for patients with breathing problems, often related to chronic respiratory diseases such as asthma and emphysema, or acute diseases like pneumonia. They also provide emergency care to patients suffering from heart attacks, drowning, or shock.",Total,2017,"115,420",114780,116050,114900,115830,"113,800",,,,,,101%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Respiratory Therapists,"Care for patients with breathing problems, often related to chronic respiratory diseases such as asthma and emphysema, or acute diseases like pneumonia. They also provide emergency care to patients suffering from heart attacks, drowning, or shock.",Total,2018,"120,210",118940,121480,119060,121190,"115,950",,,,,,104%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Respiratory Therapists,"Care for patients with breathing problems, often related to chronic respiratory diseases such as asthma and emphysema, or acute diseases like pneumonia. They also provide emergency care to patients suffering from heart attacks, drowning, or shock.",Total,2019,"124,800",122910,126730,122950,126240,"117,980",,,,,,106%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Respiratory Therapists,"Care for patients with breathing problems, often related to chronic respiratory diseases such as asthma and emphysema, or acute diseases like pneumonia. They also provide emergency care to patients suffering from heart attacks, drowning, or shock.",Total,2020,"129,100",126540,131640,126640,131010,"120,070",,,,,,108%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Respiratory Therapists,"Care for patients with breathing problems, often related to chronic respiratory diseases such as asthma and emphysema, or acute diseases like pneumonia. They also provide emergency care to patients suffering from heart attacks, drowning, or shock.",Total,2021,"133,420",130210,136630,130250,135770,"122,090",,,,,,109%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Respiratory Therapists,"Care for patients with breathing problems, often related to chronic respiratory diseases such as asthma and emphysema, or acute diseases like pneumonia. They also provide emergency care to patients suffering from heart attacks, drowning, or shock.",Total,2022,"137,460",133640,141330,133940,140470,"124,750",,,,,,110%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Respiratory Therapists,"Care for patients with breathing problems, often related to chronic respiratory diseases such as asthma and emphysema, or acute diseases like pneumonia. They also provide emergency care to patients suffering from heart attacks, drowning, or shock.",Total,2023,"141,550",137120,146000,137180,144800,"127,220",,,,,,111%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Respiratory Therapists,"Care for patients with breathing problems, often related to chronic respiratory diseases such as asthma and emphysema, or acute diseases like pneumonia. They also provide emergency care to patients suffering from heart attacks, drowning, or shock.",Total,2024,"145,470",140400,150590,140760,149070,"129,650",,,,,,112%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Respiratory Therapists,"Care for patients with breathing problems, often related to chronic respiratory diseases such as asthma and emphysema, or acute diseases like pneumonia. They also provide emergency care to patients suffering from heart attacks, drowning, or shock.",Total,2025,"149,160",143410,154950,144170,153250,"132,140",,,,,,113%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Respiratory Therapists,"Care for patients with breathing problems, often related to chronic respiratory diseases such as asthma and emphysema, or acute diseases like pneumonia. They also provide emergency care to patients suffering from heart attacks, drowning, or shock.",Total,2026,"152,800",146460,159200,147580,157200,"134,580",,,,,,114%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Respiratory Therapists,"Care for patients with breathing problems, often related to chronic respiratory diseases such as asthma and emphysema, or acute diseases like pneumonia. They also provide emergency care to patients suffering from heart attacks, drowning, or shock.",Total,2027,"156,410",149340,163320,150930,161020,"136,990",,,,,,114%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Respiratory Therapists,"Care for patients with breathing problems, often related to chronic respiratory diseases such as asthma and emphysema, or acute diseases like pneumonia. They also provide emergency care to patients suffering from heart attacks, drowning, or shock.",Total,2028,"159,900",152230,167570,154580,164760,"139,400",,,,,,115%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Respiratory Therapists,"Care for patients with breathing problems, often related to chronic respiratory diseases such as asthma and emphysema, or acute diseases like pneumonia. They also provide emergency care to patients suffering from heart attacks, drowning, or shock.",Total,2029,"163,410",155170,171720,157900,168190,"141,750",,,,,,115%
Allied Health,"Allied Health professionals and selected other occupations deliver health or related services pertaining to the identification, evaluation, and prevention of diseases and disorders; dietary and nutrition services; and rehabilitation and health systems management, among others.",Respiratory Therapists,"Care for patients with breathing problems, often related to chronic respiratory diseases such as asthma and emphysema, or acute diseases like pneumonia. They also provide emergency care to patients suffering from heart attacks, drowning, or shock.",Total,2030,"166,930",157980,175860,161280,171760,"144,100",,,,,,116%
Behavioral Health,"Behavioral Health care includes care that addresses any behavioral problem, including mental health and substance abuse conditions, stress-linked physical symptoms, patient activation and health behaviors.",(Adult) Psychiatrists,"Physicians who diagnose and treat mental illnesses and substance use disorders through a combination of modalities, including psychotherapy, psychoanalysis, hospitalization, and the use of medication.",Total,2017,"33,650",33650,33650,33650,33650,"38,410",,,,,,88%
Behavioral Health,"Behavioral Health care includes care that addresses any behavioral problem, including mental health and substance abuse conditions, stress-linked physical symptoms, patient activation and health behaviors.",(Adult) Psychiatrists,"Physicians who diagnose and treat mental illnesses and substance use disorders through a combination of modalities, including psychotherapy, psychoanalysis, hospitalization, and the use of medication.",Total,2018,"33,010",32930,33080,32740,33230,"38,570",,,,,,86%
Behavioral Health,"Behavioral Health care includes care that addresses any behavioral problem, including mental health and substance abuse conditions, stress-linked physical symptoms, patient activation and health behaviors.",(Adult) Psychiatrists,"Physicians who diagnose and treat mental illnesses and substance use disorders through a combination of modalities, including psychotherapy, psychoanalysis, hospitalization, and the use of medication.",Total,2019,"32,350",32190,32510,31850,32800,"38,720",,,,,,84%
Behavioral Health,"Behavioral Health care includes care that addresses any behavioral problem, including mental health and substance abuse conditions, stress-linked physical symptoms, patient activation and health behaviors.",(Adult) Psychiatrists,"Physicians who diagnose and treat mental illnesses and substance use disorders through a combination of modalities, including psychotherapy, psychoanalysis, hospitalization, and the use of medication.",Total,2020,"31,710",31480,31950,31010,32340,"38,840",,,,,,82%
Behavioral Health,"Behavioral Health care includes care that addresses any behavioral problem, including mental health and substance abuse conditions, stress-linked physical symptoms, patient activation and health behaviors.",(Adult) Psychiatrists,"Physicians who diagnose and treat mental illnesses and substance use disorders through a combination of modalities, including psychotherapy, psychoanalysis, hospitalization, and the use of medication.",Total,2021,"31,080",30770,31390,30230,31890,"38,970",,,,,,80%
Behavioral Health,"Behavioral Health care includes care that addresses any behavioral problem, including mental health and substance abuse conditions, stress-linked physical symptoms, patient activation and health behaviors.",(Adult) Psychiatrists,"Physicians who diagnose and treat mental illnesses and substance use disorders through a combination of modalities, including psychotherapy, psychoanalysis, hospitalization, and the use of medication.",Total,2022,"30,500",30100,30890,29510,31430,"39,050",,,,,,78%
Behavioral Health,"Behavioral Health care includes care that addresses any behavioral problem, including mental health and substance abuse conditions, stress-linked physical symptoms, patient activation and health behaviors.",(Adult) Psychiatrists,"Physicians who diagnose and treat mental illnesses and substance use disorders through a combination of modalities, including psychotherapy, psychoanalysis, hospitalization, and the use of medication.",Total,2023,"29,940",29470,30410,28830,30980,"39,130",,,,,,77%
Behavioral Health,"Behavioral Health care includes care that addresses any behavioral problem, including mental health and substance abuse conditions, stress-linked physical symptoms, patient activation and health behaviors.",(Adult) Psychiatrists,"Physicians who diagnose and treat mental illnesses and substance use disorders through a combination of modalities, including psychotherapy, psychoanalysis, hospitalization, and the use of medication.",Total,2024,"29,420",28870,29960,28210,30550,"39,210",,,,,,75%
Behavioral Health,"Behavioral Health care includes care that addresses any behavioral problem, including mental health and substance abuse conditions, stress-linked physical symptoms, patient activation and health behaviors.",(Adult) Psychiatrists,"Physicians who diagnose and treat mental illnesses and substance use disorders through a combination of modalities, including psychotherapy, psychoanalysis, hospitalization, and the use of medication.",Total,2025,"28,920",28300,29540,27650,30140,"39,280",,,,,,74%
Behavioral Health,"Behavioral Health care includes care that addresses any behavioral problem, including mental health and substance abuse conditions, stress-linked physical symptoms, patient activation and health behaviors.",(Adult) Psychiatrists,"Physicians who diagnose and treat mental illnesses and substance use disorders through a combination of modalities, including psychotherapy, psychoanalysis, hospitalization, and the use of medication.",Total,2026,"28,460",27760,29150,27120,29740,"39,340",,,,,,72%
